uuid,article_content,translated_article,date,article_summary,post_content,translated_post,platform,language,standardized_language,category,standardized_topics,organization,standardized_organization,veracity,standardized_veracity,country,standardized_country,source_filepath,url,medium,label,countries,generation_model,human_format
28084515-fccb-4056-a090-a637146116be," Following the installment of the new mayor of eThekwini, the former mayor of the municipality Zandile Gumede made a thrilling entrance to the city’s full council meeting on Thursday where voting got underway to elect the new executive. The absence of the former mayor was noticeable at the start of proceedings at 10am; she arrived shortly before 12pm. Upon her entrance, She greeted her comrades, many of who smiled and roared. She was also seen hugging her former deputy Fawzia Peer. The two hugging was significant as there have been reports that relations between the two had been cold. Prior to when the voting started, there was a debate over the process as the ANC wanted a direct vote for the council speaker, while other parties wanted for there to be due process and a presiding officer elected; the proceedings are currently being conducted by Sipho Nzuza, who is the city manager and acting chairperson for this full council meeting. The ANC has nominated former Transport MEC Mxolisi Kaunda as mayor, and former Finance MEC, Belinda Scott as deputy Mayor. Weziwe Thusi has been nominated as speaker. Security have locked the doors of city hall as councillors vote via secret ballot for the new executive. Gumede along with the entire executive committee of eThekwini Municipality were forced to resign by the provincial ANC last month who cited the city’s poor management and performance as reason for the axing; she however withdrew her resignation last week causing a stand still to the party’s next function. The former mayor is currently fighting corruption charges relating to a R208 million Durban Solid Waste tender scandal. Voting for council speaker is still underway as 199 ballots have been printed. She is expected to continue as an ordinary councillor. ",,5-Sep-19,,Drama as former eThekwini mayor walks into swearing in ceremony of new mayor,,,,eng,Politics,Municipal Politics,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/polical-news/drama-as-former-ethekwini-mayor-walks-into-swearing-in-ceremony-of-new-mayor/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
452be4f8-6fee-4f5a-a5c0-d90519d3d3ed," Allegations surrounding discharging of a firearm by the EFF leader Julius Malema during the celebration of his party’s anniversary at a stadium in East London, Eastern Cape last year is taking another turn as the police issued a warning statement to him. The leader confirmed this himself, he said \""Police have made contact with me and said they requested to see me on Tuesday for a warning statement. I think they have taken a decision to charge me…but no worries, that’s my life, me and the establishment always fight. Police say they took a decision to charge me but they’ll wait for the right time…what is a right time? Because if a crime is committed, police must charge immediately and act decisively.\"" Malema further disclosed that \""They are going to charge me and I will answer in court. I decided to remain silent, its my right. I hear people talking about a rifle…I don’t know those things. This is not a big issue, you get charged or sent to jail when you are in politics.\"" Earlier today, we reported that the National Prosecuting Authority (NPA) was yet to decide whether Malema would be prosecuted or not. NPA spokesman Luxulo Tyali said an investigating officer assigned to the case was collating statements and developments on the matter would be announced soon. ",,5-Sep-19,,EFF Leader face off with police over discharging of firearm,,,,eng,Politics and Crime,Firearm Allegations,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/national-news/eff-leader-face-off-with-police-over-discharging-of-firearm/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
3196e0be-62e3-446a-875e-507f54ee9028," The EFF leader Julius Malema maybe facing possible prosecution as the National Prosecuting Authority (NPA) announces that it is yet to decide on weather to prosecute him for discharging a firearm at a rally in East London. Luxolo Tyali, NPA spokesperson said the investigating officer had been given instructions to comply with before a decision was made public. Tyali said \""The investigating officer is still dealing with instructions given to him, including getting statements from the suspects, before an announcement is made on whether we are charging Malema or not. We will issue a statement as soon as it is appropriate to do so.\"" It is recalled that Malema reportedly discharged a firearm at the Sisa Dukashe Stadium‚ Mdantsane‚ outside East London‚ where the EFF’s birthday celebrations were held in July last year. Video footage shows the leader carrying what appears to be a rifle‚ pointing it skywards and firing several shots while EFF members chant. He however told the media that \""It’s not a firearm and no real bullets were shot. It was a simulation‚ part of our entire act of celebrating the fifth anniversary.\"" ",,5-Sep-19,,EFF leader faces prosecution over NPA decision.,,,,eng,Legal Proceedings,Firearm Prosecution,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/polical-news/eff-leader-faces-prosecution-over-npa-decision/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
3da789f5-659d-4817-b7e4-a1ea32db5f8c,"The situation is getting more and more bad as the ripple effects of the xenophobic attack on African nationals in South Africa has seen South African truck drivers getting turned back from the Botswana/Zambia border as retaliation. In a video shared online, a crowd is seen gathered at the Botswana/Zambia border in Kazungula to turn back South African truck drivers trying to drive through. This is in response to South African truck drivers who have been intimidating foreign truck drivers, and demanding that they should be banned from South Africa. The government needs to step in Watch the video below. (Credit: Africa Facts Zone). South African truck drivers being turned back from the Botswana/Zambia border in Kazungula in response to South African truck drivers intimidating foreign truck drivers, and demanding that they should be banned from South Africa. pic.twitter.com/ID8ME1YQXx — Africa Facts Zone (@AfricaFactsZone) September 4, 2019 ",,5-Sep-19,,South African truck drivers turned back from Botswana/Zambia border as retaliation for SA truck drivers intimidating foreign drivers,,,,eng,Regional Conflict,Xenophobic Violence,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/south-african-truck-drivers-turned-back-from-botswana-zambia-border-as-retaliation-for-sa-truck-drivers-intimidating-foreign-drivers/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
d9da6970-a8d9-48d2-a587-6838c72bc67f," The Nelson Mandela Foundation seem not be backing down in making sure AfriForum deputy CEO Ernst Roets is indicted following his display of the old nation flag few hours after Equality Court had declared it to be hate speech. The foundation yesterday asked the high court in Johannesburg to declare Roets in contempt of court for displaying the old \""apartheid-era\"" flag. The foundation said it was up to the court to impose a sanction on Roets if it found him guilty; It brought the application last month after Roets displayed the old flag on his Twitter account with the question: \""Did I just commit hate speech?\"" Tembeka Ngcukaitobi, Counsel for the foundation aid although AfriForum and Roets had disavowed the use of the old flag, their motives were revealed a few hours after the judgment by Gauteng deputy judge president Phineas Mojapelo when Roets displayed the flag. Ngcukaitobi said the display by Roets was a perpetration of racism that had been stopped by the court. He noted that \"" Roets as decided that he is not going to comply with the declaration of the court.\"" The foundation’s counsel noted that what Roets did was to call into question the character, dignity and standing of the judiciary as a whole. In response to all that has been said against him, Roets dismissed suggestions that he disrespected the judgment, insisting that the court said that the flag could be used for academic purposes. He said he was asking an academic question with his tweet. ",,5-Sep-19,,AfriForum deputy CEO center of attraction over SA old flag,,,,eng,Legal Controversies,Hate Speech,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/afriforum-deputy-ceo-center-of-attraction-over-sa-old-flag/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
9dfb98ff-a583-4496-921b-7b54f0c6707f," Kgalema Motlanthe, the former deputy president who also served as president for few months between 25 September 2008 and 9 May 2009, following the resignation of Thabo Mbeki has come out to accuse the parliament of failing to give effect to section 25 of the constitution by passing laws to ensure equitable redistribution of land. Durinf a dialogue at the Market Theatre in Johannesburg on yesterday with Ricardo Lagos, the former president of Chile, Motlanthe said there needed to be a framework for implementation of land reform instead of amending the constitution. He said \""Such a law has never been passed. Instead we find fault with section 25 and yet that’s not where the horse is buried.\"" It is recalled that last year, the former president shared a similar sentiment, criticising the ANC and the EFF’s push to amend the constitution. Motlanthe said if a law was passed it would create a framework for issuing title deeds, for security of tenure to farm dwellers and for security of tenure for people living under traditional leadership. He has in the past clashed with traditional leaders over his views on land reform; he noted yesterday that South Africa had the advantage of hindsight. Motlanthe further bemoaned the state of inequality in South Africa; He said \""It’s like we have two countries in same borders. One is a developed country and another is an underdeveloped country.\"" While relating to the matter. Chile former president said \""Democracy has to change because people will opt for populism,\"" he believed that as people change, so should policies. The Parliament is currently dealing with a push to amend section 25 of the constitution to allow for expropriation of land without compensation. This move was a direct result of a resolution of the ANC’s 2017 national conference in Nasrec. ",,5-Sep-19,,Former president Motlanthe to parliament – ‘That’s not where the horse is buried’,,,,eng,Land Reform Politics,Land Reform,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/national-news/former-president-motlanthe-to-parliament-thats-not-where-the-horse-is-buried/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
709ee6ee-c942-489c-a0a1-953b7e98abcf," Former Western Cape premier Helen Zille has come out to tackle public protector Busisiwe Mkhwebane saying she has failed to prove that her tweets on the legacy of colonialism in South Africa constituted an incitement to violence. She further alleged that Mkhwebane relied on a selection of her tweets and a few newspaper articles to make an adverse finding against her. The former premier’s reaction form part of her first bid to set aside Mkhwebane’s report, which found her tweets in March 2017 about the legacy of colonialism constituted an incitement to violence. Zille lodged her formal review application in the North Gauteng High Court on Wednesday, following the release of Mkhwebane’s report titled: \""Report on an investigation into allegations of breach of the provisions of the Executive Ethics Code by Premier Helen Zille\"", which was released in June last year. It is recalled that in March 2017, Upon her return from a trip to Singapore, where she had been on an official visit, Zille charged that South Africa had much to learn. She tweeted that South Africa had \""much to learn from Singapore, colonised for as long as SA, and under brutal occupation in WW2. Can we apply the lessons in our democracy?\"" Her comments prompted a backlash from several quarters. In response to a social media user she wrote: \""For those claiming legacy of colonialism was only negative, think of our independent judiciary, transport infrastructure, piped water etc.\"" Public Protector Mkhwebane undertook to investigate, following a complaint lodged by ANC MPL in the Western Cape Legislature, Khayalethu Elvis Magaxa. Zille argued through her counsel Sean Roseberg SC that \""the PP’s findings were based on a misinterpretation of her tweets, as well as a misconstruction of the right to freedom of expression under section 16 of the constitution.\"" Roseberg said \""The effect of the Public Protector’s findings and remedial action is to justify the right to freedom of expression by sanctioning the premier for the exercise of that right. This is unlawful and constitutionally invalid.\"" Rosenberg said it was wrong for Mkhwebane to maintain that the tweets were \""offensive and demean the experience of millions who suffered under the exploitative and oppressive colonial system of government. Zille argued that her tweets had instead sparked robust debate on Twitter. He said Mkhwebane considered the \""public reaction\"" and a few newspaper articles to be \""the best evidence\"" of their meaning. Thabani Masuku the PP’s legal counsel is expected to conclude his argument at a date yet to be set by agreement with all parties. Zille had been publicly called out at least twice in the past for tweeting that colonialism was \""not all bad.\"" ",,5-Sep-19,,"Helen Zille defends colonialism tweet, says it did not incite any type of violence",,,,eng,Politics,Colonialism Debate,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/national-news/helen-zille-defends-colonialism-tweet-says-it-did-not-incite-any-type-of-violence/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
8b672c7d-19d0-4f52-8589-80b3ec6f5287," Due to the recent incident that happened in the University of Cape Town, of the 42-year-old post office employee, who allegedly raped and murdered student, Uyinene Mrwetyana who went missing for days, has got his house burnt down in Khayelitsha, Cape Town by residents who were angry. The footage of the incident was shared on social media, several women were singing in the scene. Although it has not been confirmed if the suspects is the genuine owner of the house, but residents believe he is the owner because a councillor told News24. Another witness in the scene disclosed that fire brigade were not allowed to quench the fire. Provincial National Prosecuting Authority spokesperson in the Western Cape, Eric Ntabazalila said that the suspect has a prior conviction for armed robbery with aggravating circumstances, and a case of rape which was opened against him. \""He did not indicate whether he’s going to apply for bail at this stage but if he does, as the state we indicate that we will oppose bail because this is a schedule 6 crime,\"" Ntabazalila said. The suspect case has been postponed to 5th November, while court has ruled that the suspect is not yet be named by the media. See link below; ",,5-Sep-19,,Watch As Community Members Burn Down 42-Year-Old Post Office Employee’s House Who Allegedly Murdered UCT Student Uyinene Mrwetyana,,,,eng,Crime and Justice,Gender-Based Violence,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/watch-as-community-members-burn-down-42-year-old-post-office-employees-house-who-allegedly-murdered-uct-student-uyinene-mrwetyana/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
56462af9-f7c0-4ebe-b6b9-6ab55b107ca1," The two 13-year-old boys in Mamelodi that was reported missing since on Saturday afternoon bodies have been found dead. Their bodies were found in a nearby river drowned. It was earlier reported that the two boys, Pontso Kwenaite a Grade 6 learner at Sediba sa Thuto Primary School and Lungani Hobyane a Grade 7 learner at Nwa’vhani Primary School where reportedly seen climbing an unknown vehicle, which took them off and never returned, a local resident said. Guateng police spokesperson Kay Makhubela said the bodies were found by a rescue ream, Mamelodi and Boschskop police, without confirming their identities yet on Wednesday. ",,5-Sep-19,,Two 13-Year-Old Mamelodi Boys Have Been Found In A Nearby River Drowned,,,,eng,Crime and Public Safety,,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/two-13-year-old-mamelodi-boys-have-been-found-in-a-nearby-river-drowned/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
469ccfda-c13d-4562-8dd6-befe2a24605e,A video of an eyewitness account of the murder of a South African taxi driver in Pretoria which sparked off the xenophobic attacks has surfaced. Recall we reported that a taxi driver was shot dead in Pertoria CBD after he and his colleagues confronted some drug dealers in the neighborhood to clean up the community. However eyewitnesses present at the scene of the incident revealed that Tanzanians are in-charge of the territory and they killed the taxi driver with a pistol snatched from a police officer. The two eyewitnesses further revealed that Nigerians were framed in the attack. They asserted that there was a plot to make Nigerians look bad after the killing. Only the police and official investigators can really say what happened after their investigation. For now we just have to wait until that is done ,,5-Sep-19,,Xenophobia: Moment eyewitnesses Claims that Tanzanian drug dealers killed South African taxi driver and not Nigerians (video),,,,eng,Crime and Violence,Xenophobic Violence,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/xenophobia-moment-eyewitnesses-claims-that-tanzanian-drug-dealers-killed-south-african-taxi-driver-and-not-nigerians-video/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
4ad76e41-b5a3-478f-bf88-052f9378c6fe,"The families of two Mamelodi East families are seeking assistance from the general public to help locate their 13-year-old-boys who has been missing since on Saturday. The two boys, Pontso Kwenaite a Grade 6 learner at Sediba sa Thuto Primary School and Lungani Hobyane a Grade 7 learner at Nwa’vhani Primary School where reportedly seen climbing an unknown vehicle, which took them off and never returned, a local resident said. The families has also reported to the police but where unable to disclose what they were wearing before their disappearance. Police spokesperson St Mabel Sibanda also disclosed that a police investigation is already taking place, seeks the general public to also assist in locating the two young boys. Parents of the kids, Fredah Hobyane and Eliabeth Kwenaite said the boys were best friends, always playing together and visit each other mostly but have never left without telling them where they were going. One of the parents Hobyhane also appeal with the public and authorities at the border to search vehicles driving to other neighboring countries so as to make sure nothing bad happens to the boys. Anyone with any information about their where about should contact the police on 08600 10 111 ",,5-Sep-19,,"Two 13-Year-Old Boys, Pontso Kwenaite And Sediba sa Thuto From Mamelodi East Goes Missing, Families Seeks Help Finding Them",,,,eng,Missing Persons,Missing Children,hinnews,Hinnews,FALSE,FALSE,,,,http://www.hinnews.com/za/metro-news/two-13-year-old-boys-pontso-kwenaite-and-sediba-sa-thuto-from-mamelodi-east-goes-missing-families-seeks-help-finding-them/,hinnews.com,fake,,"[gpt-4.1,gemini-pro-2.5]]",article
